color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,country,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,title_year,gross_inflation,,,,
 Black and White,Mark Sandrich,66,81,10,23,Edward Everett Horton,610,3000000,Comedy,Ginger Rogers,Top Hat,13269,824,Eric Blore,USA,609000,172,7.8,1.37,1000,1935,55983284.67,,,2018,251.1068333
 Black and White,Charles Chaplin,120,87,0,8,Stanley Blystone,309,163245,Comedy,Paulette Goddard,Modern Times,143086,352,Fred Malatesta,USA,1500000,8,8.6,1.37,0,1936,3002498.343,,,,
 Black and White,Michael Curtiz,24,100,345,94,David Niven,843,,Action,Errol Flynn,The Charge of the Light Brigade,3418,1621,Spring Byington,USA,1200000,490,7.1,1.37,204,1936,0,,,,
Color,William Cottrell,145,83,0,31,Billy Gilbert,82,184925485,Animation,Adriana Caselotti,Snow White and the Seven Dwarfs,133348,229,Lucille La Verne,USA,2000000,47,7.7,1.37,0,1937,3283159355,,,,
 Black and White,John Cromwell,7,101,19,135,Mary Astor,490,,Adventure,David Niven,The Prisoner of Zenda,3256,1166,Ronald Colman,USA,,185,7.8,1.37,337,1937,0,,,,
 Black and White,Henry King,10,106,85,300,Don Ameche,480,184925485,Drama,Tyrone Power,Alexander's Ragtime Band,1381,1833,John Carradine,USA,2000000,392,7,1.37,60,1938,0,,,,
 Black and White,Frank Capra,51,126,964,275,Ann Miller,319,,Comedy,Jean Arthur,You Can't Take It with You,17799,1363,Lionel Barrymore,USA,1644736,302,8,1.37,0,1938,0,,,,
 Black and White,Victor Fleming,213,102,149,357,Terry,695,22202612,Adventure,Margaret Hamilton,The Wizard of Oz,291875,2509,Billie Burke,USA,2800000,421,8.1,1.37,14000,1939,408363537.8,,,,
Color,Victor Fleming,157,226,149,248,George Reeves,503,198655278,Drama,Hattie McDaniel,Gone with the Wind,215340,1862,Thomas Mitchell,USA,3977000,384,8.2,1.37,16000,1939,3653785065,,,,
 Black and White,Frank Capra,96,120,964,248,Jean Arthur,607,,Comedy,Claude Rains,Mr. Smith Goes to Washington,77392,1573,Thomas Mitchell,USA,1500000,319,8.2,1.37,0,1939,0,,,,
Color,James Algar,99,120,11,,Deems Taylor,16,76400000,Animation,Leopold Stokowski,Fantasia,71321,16,,USA,2280000,0,7.8,1.37,3000,1940,1395156771,,,,
Color,Norman Ferguson,105,88,3,40,Dickie Jones,1000,84300000,Animation,Mel Blanc,Pinocchio,90360,1178,Cliff Edwards,USA,2600000,48,7.5,1.37,0,1940,1539420364,,,,
 Black and White,Jack Conway,12,119,6,380,Spencer Tracy,1000,,Adventure,Hedy Lamarr,Boom Town,2269,2555,Claudette Colbert,USA,1614000,760,7.1,1.37,236,1940,0,,,,
 Black and White,Alfred Hitchcock,144,130,13000,333,Joan Fontaine,1000,,Drama,Laurence Olivier,Rebecca,87424,2888,George Sanders,USA,1288000,991,8.2,1.37,0,1940,0,,,,
 Black and White,Walter Lang,7,83,9,51,Nigel Bruce,94,,Drama,Spring Byington,The Blue Bird,1047,293,Gale Sondergaard,USA,,62,6.5,1.37,548,1940,0,,,,
 Black and White,John Ford,74,118,673,137,Walter Pidgeon,595,,Drama,Roddy McDowall,How Green Was My Valley,15840,1129,Barry Fitzgerald,USA,1250000,176,7.8,1.37,0,1941,0,,,,
Color,James Algar,116,70,11,8,Donnie Dunagan,16,102797150,Animation,Sam Edwards,Bambi,94225,63,Ann Gillis,USA,,12,7.4,1.33,0,1942,1612319692,,,,
Color,Michael Curtiz,242,82,345,269,Claude Rains,2000,,Drama,Humphrey Bogart,Casablanca,387508,3442,Conrad Veidt,USA,950000,607,8.6,1.37,23000,1942,0,,,,
 Black and White,Victor Fleming,9,122,149,315,Esther Williams,760,,Drama,Spencer Tracy,A Guy Named Joe,1553,2555,Irene Dunne,USA,2627000,675,7,1.37,116,1943,0,,,,
Color,George Sidney,8,101,24,226,Basil Rathbone,675,,Comedy,Esther Williams,Bathing Beauty,1079,1627,Red Skelton,USA,2361000,659,6.5,1.37,144,1944,0,,,,
Color,Alfred Hitchcock,97,95,13000,82,Rhonda Fleming,472,,Film-Noir,Norman Lloyd,Spellbound,32927,896,Leo G. Carroll,USA,1696377,239,7.6,1.37,0,1945,0,,,,
Color,Walter Lang,17,100,9,37,Jeanne Crain,188,,Musical,Dana Andrews,State Fair,2756,496,Frank McHugh,USA,,135,7.1,1.37,501,1945,0,,,,
 Black and White,Billy Wilder,97,101,0,66,Jane Wyman,287,,Drama,Ray Milland,The Lost Weekend,24959,581,Frank Faylen,USA,1250000,160,8,1.37,0,1945,0,,,,
 Black and White,Tay Garnett,7,119,10,275,Greer Garson,509,,Drama,Jessica Tandy,The Valley of Decision,1314,1490,Lionel Barrymore,USA,2160000,284,7.5,1.37,68,1945,0,,,,
Color,King Vidor,32,144,54,332,Lillian Gish,469,20400000,Drama,Joseph Cotten,Duel in the Sun,6304,2037,Jennifer Jones,USA,8000000,436,6.9,1.37,403,1946,267456553.8,,,,
 Black and White,William Wyler,97,172,355,188,Teresa Wright,749,23650000,Drama,Myrna Loy,The Best Years of Our Lives,40359,1941,Dana Andrews,USA,2100000,208,8.1,1.37,0,1946,310066053.8,,,,
Color,Frank Capra,206,118,964,248,Lionel Barrymore,488,,Drama,Donna Reed,It's a Wonderful Life,275720,1844,Thomas Mitchell,USA,3180000,275,8.6,1.37,41000,1946,0,,,,
 Black and White,Orson Welles,90,92,0,18,Everett Sloane,1000,7927,Crime,Rita Hayworth,The Lady from Shanghai,19236,1055,Ted de Corsia,USA,2300000,29,7.7,1.37,0,1947,90878.61161,,,,
 Black and White,Elia Kazan,61,118,603,167,Celeste Holm,936,,Drama,Dean Stockwell,Gentleman's Agreement,10791,1846,John Garfield,USA,2000000,297,7.4,1.37,0,1947,0,,,,
Color,Richard Wallace,9,95,5,100,Paul Fix,197,,Adventure,Judith Anderson,Tycoon,989,538,Laraine Day,USA,3209000,116,6.2,1.37,44,1947,0,,,,
Color,Vincente Minnelli,41,102,136,48,Reginald Owen,89,2956000,Adventure,Gladys Cooper,The Pirate,3258,282,Ellen Ross,USA,3700000,78,7.1,1.37,359,1948,31357763.15,,,,
 Black and White,John Reinhardt,1,68,2,75,John Ireland,142,,Crime,Sheldon Leonard,Open Secret,67,354,Arthur O'Connell,USA,,86,7.1,1.37,10,1948,0,,,,
 Black and White,Howard Hawks,91,126,393,281,Walter Brennan,862,,Action,Montgomery Clift,Red River,21316,2269,Harry Carey Jr.,USA,3000000,376,7.8,1.37,0,1948,0,,,,
 Black and White,Allan Dwan,40,109,23,88,Richard Jaeckel,183,,Action,James Brown,Sands of Iwo Jima,7346,510,Forrest Tucker,USA,1000000,102,7.2,1.37,624,1949,0,,,,
Color,John Ford,55,103,673,89,Ben Johnson,281,,Western,Harry Carey Jr.,She Wore a Yellow Ribbon,11920,955,Victor McLaglen,USA,1600000,230,7.4,1.37,721,1949,0,,,,
Color,George Sidney,21,107,24,83,Howard Keel,277,8000000,Biography,Keenan Wynn,Annie Get Your Gun,3167,731,Betty Hutton,USA,3768785,244,7,1.37,456,1950,84865394.19,,,,
 Black and White,Elia Kazan,94,125,603,114,Karl Malden,10000,,Drama,Marlon Brando,A Streetcar Named Desire,78454,10570,Kim Hunter,USA,1800000,416,8,1.37,5000,1951,0,,,,
Color,Mervyn LeRoy,54,171,54,346,Deborah Kerr,440,,Biography,Peter Ustinov,Quo Vadis,9808,1373,Robert Taylor,USA,7623000,426,7.2,1.37,1000,1951,0,,,,
Color,George Sidney,14,108,24,244,Ava Gardner,960,,Drama,Agnes Moorehead,Show Boat,3538,2329,Howard Keel,USA,2295429,715,7,1.33,438,1951,0,,,,
Color,Cecil B. DeMille,44,152,309,132,Dorothy Lamour,232,36000000,Drama,Gloria Grahame,The Greatest Show on Earth,9456,825,Cornel Wilde,USA,4000000,178,6.7,1.37,625,1952,347307622.6,,,,
 Black and White,Richard Brooks,27,87,174,114,Jim Backus,2000,,Crime,Humphrey Bogart,Deadline - U.S.A.,1756,2831,Kim Hunter,USA,,399,7.2,1.37,169,1952,0,,,,
 Black and White,Fred Zinnemann,153,85,160,433,Lloyd Bridges,998,,Thriller,Gary Cooper,High Noon,80193,2496,Lon Chaney Jr.,USA,750000,575,8.1,1.37,3000,1952,0,,,,
Color,Stanley Donen,169,103,134,390,Debbie Reynolds,804,,Comedy,Rita Moreno,Singin' in the Rain,150020,2510,Cyd Charisse,USA,2540800,786,8.3,1.37,0,1952,0,,,,
 Black and White,Eugène Lourié,67,80,7,21,Cecil Kellaway,57,5000000,Adventure,Kenneth Tobey,"The Beast from 20,000 Fathoms",4812,205,Ross Elliott,USA,210000,40,6.7,1.37,465,1953,47875842.7,,,,
Color,Henry Koster,42,135,28,275,Jean Simmons,726,36000000,Drama,Richard Burton,The Robe,6359,1920,Victor Mature,USA,5000000,422,6.8,2.2,0,1953,344706067.4,,,,
 Black and White,Fred Zinnemann,101,118,160,426,Donna Reed,862,,Drama,Montgomery Clift,From Here to Eternity,33987,2247,Deborah Kerr,USA,1650000,488,7.8,1.37,0,1953,0,,,,
Color,Henry Hathaway,74,92,83,48,Jean Peters,469,,Crime,Joseph Cotten,Niagara,11047,683,Will Wright,USA,1250000,79,7.1,1.37,1000,1953,0,,,,
 Black and White,Akira Kurosawa,153,202,0,4,Minoru Chiaki,304,269061,Action,Takashi Shimura,Seven Samurai,229012,338,Kamatari Fujiwara,Japan,2000000,8,8.7,1.37,11000,1954,2557149.743,,,,
 Black and White,Elia Kazan,134,108,603,279,Karl Malden,10000,9600000,Crime,Marlon Brando,On the Waterfront,100890,11094,Rod Steiger,USA,910000,416,8.2,1.85,0,1954,91238185.87,,,,
Color,Richard Fleischer,69,127,130,51,Robert J. Wilke,617,,Adventure,James Mason,"20,000 Leagues Under the Sea",22123,799,Paul Lukas,USA,5000000,53,7.2,1.37,0,1954,0,,,,
Color,Richard Fleischer,69,127,130,51,Robert J. Wilke,618,,Adventure,James Mason,"20,000 Leagues Under the Sea",22124,800,Paul Lukas,USA,5000000,53,7.2,1.37,0,1954,0,,,,
Color,Michael Curtiz,15,139,345,422,Peter Ustinov,535,,Drama,Gene Tierney,The Egyptian,2498,2112,Jean Simmons,USA,5000000,440,6.6,2.55,376,1954,0,,,,
 Black and White,Carl Theodor Dreyer,54,126,147,0,Sylvia Eckhausen,0,,Drama,Hanne Aagesen,Ordet,9903,0,Ejner Federspiel,Denmark,,0,8.1,1.37,863,1955,0,,,,
Color,Alfred Hitchcock,73,99,13000,232,John Forsythe,282,,Comedy,Jerry Mathers,The Trouble with Harry,24891,1041,Royal Dano,USA,1200000,255,7.2,1.5,0,1955,0,,,,
 Black and White,Robert D. Webb,39,89,0,102,Neville Brand,356,,Drama,James Drury,Love Me Tender,2636,831,Debra Paget,USA,1000000,110,6.2,2.35,365,1956,0,,,,
Color,John Huston,42,115,1000,68,Richard Basehart,232,,Adventure,Royal Dano,Moby Dick,13474,588,James Robertson Justice,USA,4500000,169,7.4,1.66,0,1956,0,,,,
Color,Carol Reed,20,105,82,69,Katy Jurado,746,,Drama,Gina Lollobrigida,Trapeze,3102,986,Sidney James,USA,4000000,119,6.8,2.35,283,1956,0,,,,
Color,David Lean,122,161,767,87,Sessue Hayakawa,682,27200000,Adventure,William Holden,The Bridge on the River Kwai,149444,1035,Jack Hawkins,UK,3000000,119,8.2,2.35,0,1957,247468697.5,,,,
Color,Tommy Oliver,6,90,66,734,Ruby Dee,904,,Drama,Bokeem Woodbine,1982,122,5435,Quinton Aaron,USA,1000000,782,7.1,,181,1957,0,,,,
Color,Richard Brooks,70,108,174,110,Judith Anderson,253,,Drama,Burl Ives,Cat on a Hot Tin Roof,33741,649,Jack Carson,USA,3000000,197,8.1,1.85,0,1958,0,,,,
 Black and White,Billy Wilder,181,120,0,102,Joe E. Brown,105,25000000,Comedy,Nehemiah Persoff,Some Like It Hot,175196,527,George Raft,USA,2883848,103,8.3,1.66,10000,1959,219636597.9,,,,
Color,King Vidor,14,141,54,70,George Sanders,746,,Drama,Gina Lollobrigida,Solomon and Sheba,2017,1332,Finlay Currie,USA,5000000,333,6.2,2.2,270,1959,0,,,,
Color,Fred Zinnemann,25,149,160,75,Peter Finch,157,,Drama,Colleen Dewhurst,The Nun's Story,7071,646,Beatrice Straight,USA,3500000,139,7.6,1.78,930,1959,0,,,,
 Black and White,Alfred Hitchcock,290,108,13000,285,Vera Miles,606,32000000,Horror,Janet Leigh,Psycho,422432,1885,John Gavin,USA,806947,332,8.5,1.85,18000,1960,276385945.9,,,,
Color,Richard Brooks,42,146,174,125,Jean Simmons,556,,Drama,Shirley Jones,Elmer Gantry,7998,1444,Edward Andrews,USA,3000000,422,7.9,1.66,808,1960,0,,,,
 Black and White,Billy Wilder,183,125,0,180,Ray Walston,516,,Comedy,Fred MacMurray,The Apartment,109335,1328,David White,USA,3000000,417,8.3,2.35,0,1960,0,,,,
Color,Jerome Robbins,120,152,34,249,George Chakiris,804,43650000,Crime,Rita Moreno,West Side Story,71919,1802,Richard Beymer,USA,6000000,271,7.6,2.2,0,1961,373225018.4,,,,
 Black and White,Stanley Kramer,73,186,176,760,Montgomery Clift,877,,Drama,Maximilian Schell,Judgment at Nuremberg,44457,3847,Spencer Tracy,USA,3000000,862,8.3,1.75,0,1961,0,,,,
Color,Frank Capra,21,136,964,248,Glenn Ford,931,,Comedy,Ann-Margret,Pocketful of Miracles,4313,2167,Thomas Mitchell,USA,2900000,416,7.3,2.35,612,1961,0,,,,
 Black and White,Robert Rossen,100,134,31,366,Jackie Gleason,654,,Drama,George C. Scott,The Hustler,62860,2290,Murray Hamilton,USA,2000000,491,8,2.35,0,1961,0,,,,
 Black and White,John Huston,70,120,1000,268,Kevin McCarthy,862,,Drama,Montgomery Clift,The Misfits,12981,1652,Thelma Ritter,USA,4000000,403,7.4,1.66,0,1961,0,,,,
Color,David Lean,181,227,767,87,José Ferrer,607,6000000,Adventure,Claude Rains,Lawrence of Arabia,192775,1076,Jack Hawkins,UK,15000000,202,8.4,2.2,11000,1962,50792781.46,,,,
Color,Terence Young,184,110,92,177,Jack Lord,650,16067035,Action,Ursula Andress,Dr. No,116642,1421,Lois Maxwell,UK,1100000,275,7.3,1.37,5000,1962,136014899.6,,,,
 Black and White,Stanley Kubrick,103,152,0,177,Shelley Winters,617,,Crime,James Mason,Lolita,67822,1403,Lois Maxwell,UK,2000000,367,7.7,1.66,0,1962,0,,,,
 Black and White,Stanley Kubrick,103,152,0,177,Shelley Winters,618,,Crime,James Mason,Lolita,67825,1404,Lois Maxwell,UK,2000000,367,7.7,1.66,0,1962,0,,,,
 Black and White,Joseph Green,95,70,2,6,Jason Evers,24,,Horror,Virginia Leith,The Brain That Wouldn't Die,4752,52,Bruce Kerr,USA,62000,16,4.1,1.66,1000,1962,0,,,,
 Black and White,Ken Annakin,53,178,19,196,Richard Beymer,726,,Action,Richard Burton,The Longest Day,43270,1554,Eddie Albert,USA,10000000,249,7.8,2.35,0,1962,0,,,,
 Black and White,John Ford,107,113,673,332,Woody Strode,756,,Drama,Lee Marvin,The Man Who Shot Liberty Valance,53741,2693,Vera Miles,USA,3200000,423,8.1,1.85,0,1962,0,,,,
 Black and White,Robert Mulligan,127,129,89,161,Brock Peters,3000,,Crime,Robert Duvall,To Kill a Mockingbird,215086,3833,William Windom,USA,2000000,226,8.4,1.85,15000,1962,0,,,,
Color,Terence Young,167,115,92,177,Daniela Bianchi,559,24800000,Action,Robert Shaw,From Russia with Love,89403,1456,Lois Maxwell,UK,2000000,201,7.5,1.37,0,1963,207199137.3,,,,
Color,Stanley Kramer,61,197,176,760,Sid Caesar,924,46300000,Action,Jonathan Winters,"It's a Mad, Mad, Mad, Mad World",29323,4109,Spencer Tracy,USA,9400000,898,7.6,2.76,0,1963,386827421.6,,,,
Color,Joseph L. Mankiewicz,72,251,311,595,Richard Burton,940,57750000,Biography,Martin Landau,Cleopatra,21554,2957,Roddy McDowall,UK,31115000,726,7,2.2,0,1963,482489926.5,,,,
Color,Nicholas Ray,15,154,117,86,David Niven,715,,Action,Ava Gardner,55 Days at Peking,4550,1567,John Ireland,USA,9000000,490,6.8,2.2,419,1963,0,,,,
Color,John Ford,27,109,673,359,Cesar Romero,756,,Adventure,Lee Marvin,Donovan's Reef,5786,1949,Jack Warden,USA,2686585,370,6.9,1.85,573,1963,0,,,,
 Black and White,Martin Ritt,65,112,58,124,Melvyn Douglas,617,,Drama,Patricia Neal,Hud,15277,1141,Whit Bissell,USA,2500000,189,7.9,2.35,1000,1963,0,,,,
Color,John Sturges,111,172,120,145,Donald Pleasence,773,,Adventure,James Coburn,The Great Escape,165638,1785,Gordon Jackson,USA,4000000,742,8.3,2.35,8000,1963,0,,,,
Color,Tony Richardson,30,121,62,69,Susannah York,883,,Adventure,Albert Finney,Tom Jones,8508,1371,Hugh Griffith,UK,1000000,269,6.8,1.37,328,1963,0,,,,
 Black and White,Michael Roemer,24,95,0,87,Gloria Foster,581,12438,Drama,Yaphet Kotto,Nothing But a Man,891,835,Ivan Dixon,USA,160000,99,8.1,,363,1964,102576.186,,,,
 Black and White,Richard Lester,105,87,44,704,Ringo Starr,785,515005,Comedy,Paul McCartney,A Hard Day's Night,31429,2538,George Harrison,UK,560000,725,7.7,1.75,0,1964,4247246.235,,,,
Color,Sergio Leone,122,99,0,93,Gian Maria Volontè,16000,3500000,Action,Clint Eastwood,A Fistful of Dollars,147566,16534,Aldo Sambrell,Italy,200000,360,8,2.35,0,1964,28864500,,,,
Color,Guy Hamilton,164,110,82,177,Gert Fröbe,387,51100000,Action,Honor Blackman,Goldfinger,139432,1198,Lois Maxwell,UK,3000000,202,7.8,1.37,0,1964,421421700,,,,
Color,George Cukor,82,170,165,244,Rex Harrison,453,72000000,Drama,Jeremy Brett,My Fair Lady,66959,1164,Theodore Bikel,USA,17000000,272,7.9,2.2,0,1964,593784000,,,,
Color,Robert Stevenson,145,139,55,266,Glynis Johns,382,102300000,Comedy,Ed Wynn,Mary Poppins,107408,2045,Elsa Lanchester,USA,6000000,279,7.8,1.66,0,1964,843668100,,,,
 Black and White,Stanley Kubrick,192,95,0,277,Slim Pickens,654,,Comedy,George C. Scott,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,342585,1991,Keenan Wynn,USA,1800000,575,8.5,1.66,18000,1964,0,,,,
Color,Anthony Mann,30,172,75,102,Mel Ferrer,617,,Drama,James Mason,The Fall of the Roman Empire,6156,1131,Stephen Boyd,USA,19000000,134,6.7,2.2,560,1964,0,,,,
 Black and White,John Frankenheimer,64,133,287,28,Paul Scofield,343,,Thriller,Jeanne Moreau,The Train,10119,502,Michel Simon,France,6700000,94,7.9,1.66,0,1964,0,,,,
 Black and White,Jean-Luc Godard,36,94,0,5,Macha Méril,12,,Drama,Philippe Leroy,Une Femme Mariée,1962,27,Rita Maiden,France,120000,7,7.4,1.37,187,1964,0,,,,
Color,Sam Peckinpah,53,152,541,288,Slim Pickens,773,14873,Adventure,James Coburn,Major Dundee,5294,2888,Warren Oates,USA,3800000,575,6.8,2.35,251,1965,120710.6845,,,,
Color,George Stevens,27,225,126,202,Carroll Baker,940,8000000,Biography,Martin Landau,The Greatest Story Ever Told,6484,1934,José Ferrer,USA,20000000,208,6.6,2.76,1000,1965,64928761.9,,,,
Color,Terence Young,129,130,92,177,Earl Cameron,244,63600000,Action,Desmond Llewelyn,Thunderball,82073,1164,Lois Maxwell,UK,9000000,189,7,2.35,0,1965,516183657.1,,,,
Color,David Lean,89,200,767,382,Klaus Kinski,597,111722000,Drama,Julie Christie,Doctor Zhivago,55816,1966,Geraldine Chaplin,USA,11000000,396,8,2.35,7000,1965,906746392.2,,,,
Color,Robert Wise,119,174,338,195,Angela Cartwright,354,163214286,Biography,Eleanor Parker,The Sound of Music,148172,1495,Nicholas Hammond,USA,8200000,209,8,2.35,15000,1965,1324662689,,,,
Color,Bill Melendez,43,25,36,27,Bill Melendez,39,,Animation,Peter Robbins,A Charlie Brown Christmas,21826,139,Christopher Shea,USA,150000,36,8.4,1.33,0,1965,0,,,,
Color,Jean-Luc Godard,96,110,0,0,Anna Karina,710,,Crime,Jean-Paul Belmondo,Pierrot le Fou,19386,967,Graziella Galvani,France,300000,257,7.7,2.35,2000,1965,0,,,,
 Black and White,Guy Hamilton,12,94,82,47,Eddie Albert,694,,Drama,Oliver Reed,The Party's Over,340,964,Louise Sorel,UK,,196,7.3,1.37,32,1965,0,,,,
Color,Sergio Leone,181,142,0,24,Luigi Pistilli,16000,6100000,Western,Clint Eastwood,"The Good, the Bad and the Ugly",503509,16089,Enzo Petito,Italy,1200000,34,8.9,2.35,20000,1966,48132953.7,,,,
Color,Richard Lester,25,99,44,137,Zero Mostel,907,,Comedy,Buster Keaton,A Funny Thing Happened on the Way to the Forum,6804,1807,Phil Silvers,USA,2000000,164,7,1.85,805,1966,0,,,,
Color,Fred Zinnemann,62,120,160,94,Susannah York,559,,Biography,Robert Shaw,A Man for All Seasons,23713,1238,Paul Scofield,UK,2000000,269,7.9,1.66,2000,1966,0,,,,
Color,Leslie H. Martinson,53,105,7,356,Cesar Romero,1000,,Adventure,Burgess Meredith,Batman: The Movie,22975,2658,Burt Ward,USA,1377800,370,6.5,1.85,0,1966,0,,,,
Color,Jack Smight,22,121,22,367,Robert Wagner,606,,Action,Janet Leigh,Harper,5941,2402,Shelley Winters,USA,3500000,481,7,2.35,470,1966,0,,,,
Color,Alfred Hitchcock,64,128,13000,14,Lila Kedrova,18,,Thriller,Tamara Toumanova,Torn Curtain,18656,70,David Opatoshu,USA,6000000,16,6.7,1.85,933,1966,0,,,,
Color,Lewis Gilbert,130,117,43,244,Burt Kwouk,742,43100000,Action,Donald Pleasence,You Only Live Twice,75280,2127,Desmond Llewelyn,UK,9500000,462,6.9,2.35,0,1967,329904691.6,,,,
 Black and White,Richard Brooks,79,134,174,188,Robert Blake,255,,Biography,John Forsythe,In Cold Blood,19026,970,Will Geer,USA,3500000,220,8,2.35,0,1967,0,,,,
Color,John Boorman,87,92,128,480,Angie Dickinson,756,,Crime,Lee Marvin,Point Blank,13640,2715,Carroll O'Connor,USA,3000000,754,7.4,2.35,3000,1967,0,,,,
Color,Harald Reinl,38,80,2,51,Lex Barker,16000,,Horror,Christopher Lee,The Torture Chamber of Dr. Sadism,952,16110,Karin Dor,West Germany,,57,6,1.66,200,1967,0,,,,
Color,Carol Reed,56,153,82,139,Ron Moody,695,16800000,Drama,Oliver Reed,Oliver!,25303,1593,Jack Wild,UK,10000000,275,7.5,2.35,0,1968,123420620.7,,,,
Color,Stanley Kubrick,285,161,0,73,Gary Lockwood,273,56715371,Adventure,Keir Dullea,2001: A Space Odyssey,427357,727,Glenn Beck,UK,12000000,117,8.3,2.2,24000,1968,416657517.3,,,,
Color,Roger Vadim,107,98,35,170,David Hemmings,949,,Adventure,Jane Fonda,Barbarella,24436,1510,Milo O'Shea,France,9000000,178,5.9,2.35,0,1968,0,,,,
Color,Ralph Nelson,32,103,17,113,Dick Van Patten,754,,Drama,Cliff Robertson,Charly,4998,1567,Claire Bloom,USA,,605,7.1,2.35,785,1968,0,,,,
Color,Ted Post,26,114,57,426,Bruce Dern,16000,,Western,Clint Eastwood,Hang 'Em High,25472,18263,Alan Hale Jr.,USA,1800000,844,7,1.85,0,1968,0,,,,
 Black and White,George A. Romero,284,96,0,56,Duane Jones,125,,Drama,Judith O'Dea,Night of the Living Dead,87978,403,S. William Hinzman,USA,114000,108,8,1.85,0,1968,0,,,,
 Black and White,George A. Romero,284,96,0,56,Duane Jones,125,,Drama,Judith O'Dea,Night of the Living Dead,87978,403,S. William Hinzman,USA,114000,108,8,1.85,0,1968,0,,,,
Color,Sergio Leone,164,145,0,392,Woody Strode,973,,Western,Claudia Cardinale,Once Upon a Time in the West,216005,2589,Jack Elam,Italy,5000000,423,8.6,2.35,10000,1968,0,,,,
Color,Roman Polanski,215,136,2000,449,Mia Farrow,917,,Drama,John Cassavetes,Rosemary's Baby,140527,2997,Charles Grodin,USA,2300000,563,8,1.85,13000,1968,0,,,,
Color,Edward Dmytryk,10,113,74,387,Woody Strode,984,,Western,Brigitte Bardot,Shalako,1978,2140,Honor Blackman,UK,1455000,423,5.5,2.35,209,1968,0,,,,
Color,Melville Shavelson,8,111,5,559,Tom Bosley,6000,,Comedy,Lucille Ball,"Yours, Mine and Ours",5888,7493,Tim Matheson,USA,2500000,584,7.2,1.85,0,1968,0,,,,
Color,François Truffaut,35,123,0,21,Jean-Paul Belmondo,963,26893,Crime,Catherine Deneuve,Mississippi Mermaid,4391,1694,Michel Bouquet,France,1600000,710,7.2,2.35,278,1969,187340.1553,,,,
Color,Peter R. Hunt,143,142,13,244,George Lazenby,803,22800000,Action,Telly Savalas,On Her Majesty's Secret Service,59941,1769,Desmond Llewelyn,UK,7000000,314,6.8,2.35,0,1969,158827782,,,,
